TARGET_CLASS,Lines,Covered_Lines,Total_Methods,Covered_Methods,Total_Branches,Covered_Branches,BranchCoverage,MethodCoverage,LineCoverage,OutputCoverage,Total_Time
org.apache.commons.cli.TypeHandler,11,37,11,11,20,12,0.7241379310344828,1.0,0.8222222222222222,0.3707865168539326,64765
org.apache.commons.cli.Options,18,62,18,18,34,34,1.0,1.0,1.0,0.6268656716417911,65613
org.apache.commons.cli.HelpFormatter,44,194,43,43,122,89,0.7884615384615384,0.975,0.9065420560747663,0.43478260869565216,210777
org.apache.commons.cli.CommandLine,31,82,31,31,50,50,1.0,1.0,1.0,0.8032786885245902,68174
org.apache.commons.cli.PosixParser,7,56,7,7,56,45,0.8103448275862069,1.0,0.8235294117647058,0.6666666666666666,64308
org.apache.commons.cli.MissingOptionException,4,15,4,4,6,6,1.0,1.0,1.0,0.6666666666666666,63163
org.apache.commons.cli.AmbiguousOptionException,3,16,3,3,4,4,1.0,1.0,1.0,0.5,62934
org.apache.commons.cli.Util,3,12,3,3,14,14,1.0,1.0,1.0,0.8333333333333334,63544
org.apache.commons.cli.GnuParser,2,28,2,2,20,20,1.0,1.0,1.0,0.6666666666666666,63738
org.apache.commons.cli.OptionGroup,9,35,9,9,14,14,1.0,1.0,1.0,0.6666666666666666,63787
org.apache.commons.cli.BasicParser,2,2,2,2,0,0,1.0,1.0,1.0,1.0,2476
org.apache.commons.cli.UnrecognizedOptionException,3,6,3,3,0,0,1.0,1.0,1.0,1.0,2020
org.apache.commons.cli.PatternOptionBuilder,4,33,4,4,96,96,1.0,1.0,1.0,0.8333333333333334,67542
org.apache.commons.cli.Parser,13,0,13,0,78,0,0.0,0.0,0.0,0.0,61796
org.apache.commons.cli.ParseException,1,2,1,1,0,0,1.0,1.0,1.0,1.0,1685
org.apache.commons.cli.MissingArgumentException,3,5,3,3,0,0,1.0,1.0,0.8333333333333334,0.9047619047619048,63421
org.apache.commons.cli.OptionBuilder,21,59,20,20,4,4,1.0,1.0,0.9672131147540983,0.7263157894736842,65560
org.apache.commons.cli.OptionValidator,4,14,4,4,16,16,1.0,1.0,1.0,1.0,63326
